country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Azerbaijan,3/15/20,23,1,8,0,1
Azerbaijan,3/16/20,28,1,5,0,2
Azerbaijan,3/17/20,28,1,0,0,3
Azerbaijan,3/18/20,28,1,0,0,4
Azerbaijan,3/19/20,44,1,16,0,5
Azerbaijan,3/20/20,44,1,0,0,6
Azerbaijan,3/21/20,53,1,9,0,7
Azerbaijan,3/22/20,65,1,12,0,8
Azerbaijan,3/23/20,72,1,7,0,9
Azerbaijan,3/24/20,87,1,15,0,10
Azerbaijan,3/25/20,93,2,6,1,11
Azerbaijan,3/26/20,122,3,29,1,12
Azerbaijan,3/27/20,165,3,43,0,13
Azerbaijan,3/28/20,182,4,17,1,14
Azerbaijan,3/29/20,209,4,27,0,15
Azerbaijan,3/30/20,273,4,64,0,16
Azerbaijan,3/31/20,298,5,25,1,17
Azerbaijan,4/1/20,359,5,61,0,18
Azerbaijan,4/2/20,400,5,41,0,19
Azerbaijan,4/3/20,443,5,43,0,20
Azerbaijan,4/4/20,521,5,78,0,21
Azerbaijan,4/5/20,584,7,63,2,22
Azerbaijan,4/6/20,641,7,57,0,23
Azerbaijan,4/7/20,717,8,76,1,24
Azerbaijan,4/8/20,822,8,105,0,25
Azerbaijan,4/9/20,926,9,104,1,26
Azerbaijan,4/10/20,991,10,65,1,27
Azerbaijan,4/11/20,1058,11,67,1,28
Azerbaijan,4/12/20,1098,11,40,0,29
Azerbaijan,4/13/20,1148,12,50,1,30
Azerbaijan,4/14/20,1197,13,49,1,31
Azerbaijan,4/15/20,1253,13,56,0,32
Azerbaijan,4/16/20,1283,15,30,2,33
Azerbaijan,4/17/20,1340,15,57,0,34
Azerbaijan,4/18/20,1373,18,33,3,35
Azerbaijan,4/19/20,1398,19,25,1,36
Azerbaijan,4/20/20,1436,19,38,0,37
Azerbaijan,4/21/20,1480,20,44,1,38
Azerbaijan,4/22/20,1518,20,38,0,39
Azerbaijan,4/23/20,1548,20,30,0,40
Azerbaijan,4/24/20,1592,21,44,1,41
Azerbaijan,4/25/20,1617,21,25,0,42
Azerbaijan,4/26/20,1645,21,28,0,43
