country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Cabo Verde,4/15/20,56,1,45,0,1
Cabo Verde,4/16/20,56,1,0,0,2
Cabo Verde,4/17/20,56,1,0,0,3
Cabo Verde,4/18/20,58,1,2,0,4
Cabo Verde,4/19/20,61,1,3,0,5
Cabo Verde,4/20/20,67,1,6,0,6
Cabo Verde,4/21/20,68,1,1,0,7
Cabo Verde,4/22/20,73,1,5,0,8
Cabo Verde,4/23/20,82,1,9,0,9
Cabo Verde,4/24/20,88,1,6,0,10
Cabo Verde,4/25/20,90,1,2,0,11
Cabo Verde,4/26/20,106,1,16,0,12
